Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
01/27/2021,01/01/2020,01/23/2021,AK,Anchorage Borough,2020,Medium metro,135,2289
01/27/2021,01/01/2020,01/23/2021,AK,Fairbanks North Star Borough,2090,Small metro,24,531
01/27/2021,01/01/2020,01/23/2021,AK,Kenai Peninsula Borough,2122,Noncore,12,374
01/27/2021,01/01/2020,01/23/2021,AK,Matanuska-Susitna Borough,2170,Medium metro,19,624
01/27/2021,01/01/2020,01/23/2021,AL,Autauga County,1001,Medium metro,47,511
01/27/2021,01/01/2020,01/23/2021,AL,Baldwin County,1003,Small metro,141,2342
01/27/2021,01/01/2020,01/23/2021,AL,Barbour County,1005,Noncore,17,279
01/27/2021,01/01/2020,01/23/2021,AL,Bibb County,1007,Large fringe metro,23,200
01/27/2021,01/01/2020,01/23/2021,AL,Blount County,1009,Large fringe metro,28,509
01/27/2021,01/01/2020,01/23/2021,AL,Butler County,1013,Noncore,27,240
01/27/2021,01/01/2020,01/23/2021,AL,Calhoun County,1015,Small metro,177,1694
01/27/2021,01/01/2020,01/23/2021,AL,Chambers County,1017,Micropolitan,12,373
01/27/2021,01/01/2020,01/23/2021,AL,Cherokee County,1019,Noncore,12,296
01/27/2021,01/01/2020,01/23/2021,AL,Chilton County,1021,Large fringe metro,20,408
01/27/2021,01/01/2020,01/23/2021,AL,Choctaw County,1023,Noncore,13,118
01/27/2021,01/01/2020,01/23/2021,AL,Clay County,1027,Noncore,32,213
01/27/2021,01/01/2020,01/23/2021,AL,Coffee County,1031,Micropolitan,35,568
01/27/2021,01/01/2020,01/23/2021,AL,Colbert County,1033,Small metro,113,742
01/27/2021,01/01/2020,01/23/2021,AL,Covington County,1039,Noncore,73,595
01/27/2021,01/01/2020,01/23/2021,AL,Crenshaw County,1041,Noncore,27,204
01/27/2021,01/01/2020,01/23/2021,AL,Cullman County,1043,Micropolitan,134,1215
01/27/2021,01/01/2020,01/23/2021,AL,Dale County,1045,Micropolitan,58,478
01/27/2021,01/01/2020,01/23/2021,AL,Dallas County,1047,Micropolitan,73,524
01/27/2021,01/01/2020,01/23/2021,AL,DeKalb County,1049,Noncore,68,799
01/27/2021,01/01/2020,01/23/2021,AL,Elmore County,1051,Medium metro,43,722
01/27/2021,01/01/2020,01/23/2021,AL,Escambia County,1053,Noncore,29,410
01/27/2021,01/01/2020,01/23/2021,AL,Etowah County,1055,Small metro,248,1817
01/27/2021,01/01/2020,01/23/2021,AL,Fayette County,1057,Noncore,13,160
01/27/2021,01/01/2020,01/23/2021,AL,Franklin County,1059,Noncore,19,342
01/27/2021,01/01/2020,01/23/2021,AL,Geneva County,1061,Small metro,21,332
01/27/2021,01/01/2020,01/23/2021,AL,Hale County,1065,Small metro,12,167
01/27/2021,01/01/2020,01/23/2021,AL,Houston County,1069,Small metro,388,2190
01/27/2021,01/01/2020,01/23/2021,AL,Jackson County,1071,Micropolitan,45,694
01/27/2021,01/01/2020,01/23/2021,AL,Jefferson County,1073,Large central metro,1178,11056
01/27/2021,01/01/2020,01/23/2021,AL,Lauderdale County,1077,Small metro,167,1641
01/27/2021,01/01/2020,01/23/2021,AL,Lawrence County,1079,Small metro,16,333
01/27/2021,01/01/2020,01/23/2021,AL,Lee County,1081,Small metro,194,1380
01/27/2021,01/01/2020,01/23/2021,AL,Limestone County,1083,Medium metro,76,904
01/27/2021,01/01/2020,01/23/2021,AL,Madison County,1089,Medium metro,364,4634
01/27/2021,01/01/2020,01/23/2021,AL,Marengo County,1091,Noncore,24,274
01/27/2021,01/01/2020,01/23/2021,AL,Marion County,1093,Noncore,48,429
01/27/2021,01/01/2020,01/23/2021,AL,Marshall County,1095,Micropolitan,141,1355
01/27/2021,01/01/2020,01/23/2021,AL,Mobile County,1097,Medium metro,594,5851
01/27/2021,01/01/2020,01/23/2021,AL,Montgomery County,1101,Medium metro,513,3496
01/27/2021,01/01/2020,01/23/2021,AL,Morgan County,1103,Small metro,161,1561
01/27/2021,01/01/2020,01/23/2021,AL,Pickens County,1107,Small metro,10,178
01/27/2021,01/01/2020,01/23/2021,AL,Pike County,1109,Micropolitan,34,334
01/27/2021,01/01/2020,01/23/2021,AL,Randolph County,1111,Noncore,13,228
01/27/2021,01/01/2020,01/23/2021,AL,Russell County,1113,Medium metro,17,398
01/27/2021,01/01/2020,01/23/2021,AL,St. Clair County,1115,Large fringe metro,69,861
01/27/2021,01/01/2020,01/23/2021,AL,Shelby County,1117,Large fringe metro,125,1537
01/27/2021,01/01/2020,01/23/2021,AL,Talladega County,1121,Micropolitan,81,954
01/27/2021,01/01/2020,01/23/2021,AL,Tallapoosa County,1123,Noncore,85,590
